	Species	Genes	Brucella abortus 2308	Brucella canis ATCC 23365	Brucella ceti TE10759-12	Brucella microti CCM 4915	Brucella suis 1330	mean ZH-Score
2042	5	5	WP_002964335.1	WP_004690912.1	WP_006174324.1	WP_004685696.1	WP_004690912.1	248786.9589578947
1924	5	5	WP_002963494.1	WP_004690555.1	WP_006173735.1	WP_004682909.1	WP_004690555.1	129424.14922666668
1589	5	5	WP_002966952.1	WP_004688685.1	WP_004688685.1	WP_004688685.1	WP_004688685.1	115917.34606666667
2826	5	5	WP_002964842.1	WP_006132890.1	WP_006174745.1	WP_004689223.1	WP_006192520.1	111921.0839875
1077	5	5	WP_002969577.1	WP_002969577.1	WP_002969577.1	WP_002969577.1	WP_002969577.1	105938.8615
2656	5	5	WP_006099340.1	WP_006133555.1	WP_006175967.1	WP_004688780.1	WP_006191543.1	87818.06007272727
1629	5	5	WP_002967306.1	WP_004688980.1	WP_004688980.1	WP_004688980.1	WP_004688980.1	82912.65953333334
1665	5	5	WP_002967026.1	WP_004689316.1	WP_004689316.1	WP_004689316.1	WP_004689316.1	79424.20497777777
677	5	5	WP_002965857.1	WP_002965857.1	WP_002965857.1	WP_002965857.1	WP_002965857.1	77808.28755555555
653	5	5	WP_002965747.1	WP_004692171.1	WP_006175260.1	WP_002965747.1	WP_002965747.1	71277.08345625001
1669	5	5	WP_002965189.1	WP_004689339.1	WP_006173540.1	WP_015799789.1	WP_004689339.1	71136.09213333334
994	5	5	WP_002965210.1	WP_002968043.1	WP_002968043.1	WP_002968043.1	WP_002968043.1	69906.32011
2892	5	5	WP_002969259.1	WP_024768050.1	WP_025198294.1	WP_041594793.1	WP_024768050.1	69582.06517142858
1262	5	5	WP_002963984.1	WP_004690770.1	WP_004683671.1	WP_004683671.1	WP_004683671.1	68761.27370714284
2256	5	5	WP_002967133.1	WP_004692701.1	WP_002967133.1	WP_002967133.1	WP_004692701.1	68167.4513
652	5	5	WP_002965746.1	WP_002965746.1	WP_004682281.1	WP_002965746.1	WP_002965746.1	68002.5486764706
862	5	5	WP_002966643.1	WP_004689903.1	WP_006162358.1	WP_002966643.1	WP_002966643.1	66580.447
2837	5	5	WP_002969462.1	WP_004691957.1	WP_006072289.1	WP_006072289.1	WP_006197018.1	64338.802145454545
2035	5	5	WP_002964270.1	WP_004690889.1	WP_006174290.1	WP_004683848.1	WP_004690889.1	61511.93229411764
2691	5	5	WP_002966335.1	WP_004687477.1	WP_006175733.1	WP_015799819.1	WP_006191744.1	61366.26329444445
118	5	5	WP_002963865.1	WP_002963865.1	WP_002963865.1	WP_002963865.1	WP_002963865.1	61067.416952941174
1343	5	5	WP_002966139.1	WP_004684995.1	WP_004684995.1	WP_004684995.1	WP_004684995.1	60009.98415833333
552	5	5	WP_002965336.1	WP_002965336.1	WP_002965336.1	WP_002965336.1	WP_002965336.1	59611.32445624999
2705	5	5	WP_002967333.1	WP_004687424.1	WP_004687424.1	WP_004687424.1	WP_006191817.1	59486.05670384615
335	5	5	WP_002964613.1	WP_002964613.1	WP_002964613.1	WP_002964613.1	WP_002964613.1	58851.68400000001
2561	5	5	WP_002969582.1	WP_004691565.1	WP_004686348.1	WP_015799694.1	WP_006190660.1	58851.68400000001
2712	5	5	WP_002966221.1	WP_004681709.1	WP_004681709.1	WP_004681709.1	WP_006191840.1	55099.43121666667
1433	5	5	WP_002966229.1	WP_004687422.1	WP_004687422.1	WP_004687422.1	WP_004687422.1	51917.363424999996
744	5	5	WP_002966147.1	WP_002966147.1	WP_002966147.1	WP_002966147.1	WP_002966147.1	50723.91841428571
727	5	5	WP_002966095.1	WP_002966095.1	WP_002966095.1	WP_002966095.1	WP_002966095.1	50487.527285714285
729	5	5	WP_002966108.1	WP_004690182.1	WP_002966108.1	WP_002966108.1	WP_002966108.1	48098.25493333334
1790	5	5	WP_002967326.1	WP_004690129.1	WP_006175611.1	WP_015799842.1	WP_004690129.1	47871.091283333335
2173	5	5	WP_002969559.1	WP_004691678.1	WP_006174382.1	WP_006088037.1	WP_004691678.1	47055.38136666667
2090	5	5	WP_002964947.1	WP_004691074.1	WP_004691074.1	WP_004691074.1	WP_004691074.1	45527.64657916667
2557	5	5	WP_002964592.1	WP_004689841.1	WP_004689841.1	WP_004689841.1	WP_006190649.1	44867.92115625
904	5	5	WP_002967029.1	WP_002967029.1	WP_006173515.1	WP_002967029.1	WP_002967029.1	44033.69614285714
2036	5	5	WP_002966844.1	WP_004690890.1	WP_006174292.1	WP_004685677.1	WP_004690890.1	44022.684708333334
805	5	5	WP_002966417.1	WP_002966417.1	WP_002966417.1	WP_002966417.1	WP_002966417.1	43516.13316923077
334	5	5	WP_002964611.1	WP_002964611.1	WP_002964611.1	WP_002964611.1	WP_002964611.1	43437.80605714286
1290	5	5	WP_002966897.1	WP_004684026.1	WP_004684026.1	WP_004684026.1	WP_004684026.1	43361.798038461544
1514	5	5	WP_002963648.1	WP_004688072.1	WP_004688072.1	WP_004688072.1	WP_004688072.1	43161.57126086956
925	5	5	WP_002967251.1	WP_002967251.1	WP_006175336.1	WP_002967251.1	WP_002967251.1	42303.7366117647
2290	5	5	WP_002969020.1	WP_004692643.1	WP_006014901.1	WP_012783766.1	WP_006014901.1	41622.76972
1462	5	5	WP_002966662.1	WP_004689897.1	WP_004687650.1	WP_015799983.1	WP_004687650.1	40481.49023846154
2066	5	5	WP_002964536.1	WP_004691596.1	WP_004688550.1	WP_004688550.1	WP_004690987.1	40474.2393125
2309	5	5	WP_002965219.1	WP_004692059.1	WP_006173556.1	WP_002968046.1	WP_006071831.1	39462.19325
2748	5	5	WP_002966028.1	WP_004690221.1	WP_006164622.1	WP_015799883.1	WP_006192007.1	34739.685172727266
2612	5	5	WP_002965281.1	WP_002965281.1	WP_006173577.1	WP_002965281.1	WP_006191116.1	34628.18868695652
2136	5	5	WP_002967075.1	WP_004691256.1	WP_002965319.1	WP_002965319.1	WP_004691256.1	34155.44728181819
1056	5	5	WP_002969309.1	WP_002969309.1	WP_006175320.1	WP_002969309.1	WP_002969309.1	33139.60042608695
1264	5	5	WP_002964006.1	WP_004683694.1	WP_004683694.1	WP_004683694.1	WP_004683694.1	32866.42385
2319	5	5	WP_002966695.1	WP_004691976.1	WP_002966695.1	WP_002966695.1	WP_006072198.1	32773.888920000005
804	5	5	WP_002966416.1	WP_002966416.1	WP_002966416.1	WP_002966416.1	WP_002966416.1	32165.09018666666
803	5	5	WP_002966415.1	WP_002966415.1	WP_002966415.1	WP_002966415.1	WP_002966415.1	31617.74418333334
1135	5	5	WP_002971401.1	WP_002971401.1	WP_006174457.1	WP_002971401.1	WP_002971401.1	31572.51728260869
2781	5	5	WP_002972106.1	WP_006133417.1	WP_006175321.1	WP_041594758.1	WP_006192159.1	31489.996195652173
1741	5	5	WP_002966544.1	WP_004689951.1	WP_004681179.1	WP_004681179.1	WP_004689951.1	31459.831
410	5	5	WP_002964866.1	WP_002964866.1	WP_002964866.1	WP_002964866.1	WP_002964866.1	31357.87549130435
1452	5	5	WP_002968810.1	WP_004687598.1	WP_004687598.1	WP_004687598.1	WP_004687598.1	30855.38175
1601	5	5	WP_002966652.1	WP_004688755.1	WP_004688755.1	WP_004688755.1	WP_004688755.1	30204.21255555556
2439	5	5	WP_002966711.1	WP_002963677.1	WP_002963677.1	WP_002963677.1	WP_006189961.1	29967.846799999996
1220	5	5	WP_002965772.1	WP_004690341.1	WP_004682252.1	WP_004682252.1	WP_004682252.1	29303.87788333333
1802	5	5	WP_002966130.1	WP_004690171.1	WP_006175552.1	WP_004688972.1	WP_004690171.1	29115.704640000004
2371	5	5	WP_002967028.1	WP_006132991.1	WP_002967028.1	WP_015799780.1	WP_006132991.1	28271.59408571429
1609	5	5	WP_002966444.1	WP_004688837.1	WP_006175834.1	WP_004688837.1	WP_004688837.1	27597.8041
414	5	5	WP_002964880.1	WP_002964880.1	WP_002964880.1	WP_002964880.1	WP_002964880.1	27389.69507142857
2342	5	5	WP_002967309.1	WP_004692304.1	WP_006175546.1	WP_004687319.1	WP_006073635.1	26820.792706250002
2564	5	5	WP_002966909.1	WP_004691021.1	WP_006174518.1	WP_002964623.1	WP_006190668.1	26044.09854166667
2498	5	5	WP_002964133.1	WP_004683761.1	WP_004683761.1	WP_015799613.1	WP_006190196.1	25446.59698461539
1037	5	5	WP_002968731.1	WP_002968731.1	WP_002968731.1	WP_002968731.1	WP_002968731.1	25282.251628125
228	5	5	WP_002964272.1	WP_002964272.1	WP_002964272.1	WP_015799640.1	WP_002964272.1	25182.654866666668
2246	5	5	WP_002971958.1	WP_004692457.1	WP_006175699.1	WP_006164908.1	WP_004692457.1	25154.44222222222
2519	5	5	WP_002969119.1	WP_004691759.1	WP_004691759.1	WP_004691759.1	WP_006190478.1	25153.862628571427
2166	5	5	WP_002964588.1	WP_004691568.1	WP_006174490.1	WP_004688576.1	WP_004691568.1	24599.931975000003
790	5	5	WP_002966368.1	WP_002966368.1	WP_002966368.1	WP_002966368.1	WP_002966368.1	24156.58412777778
854	5	5	WP_002966618.1	WP_002966618.1	WP_002966618.1	WP_002966618.1	WP_002966618.1	24084.136394444442
942	5	5	WP_002967450.1	WP_002967450.1	WP_002967450.1	WP_002967450.1	WP_002967450.1	23738.086508333337
1073	5	5	WP_002969519.1	WP_002969519.1	WP_002969519.1	WP_002969519.1	WP_002969519.1	23648.116194736842
1150	5	5	WP_002971565.1	WP_002971565.1	WP_002971565.1	WP_002971565.1	WP_002971565.1	23510.146675000004
537	5	5	WP_002967068.1	WP_002965291.1	WP_002965291.1	WP_002965291.1	WP_002965291.1	23325.666047058825
1774	5	5	WP_002966298.1	WP_004690073.1	WP_002966298.1	WP_002966298.1	WP_004690073.1	23303.035693750004
1388	5	5	WP_002965582.1	WP_004687024.1	WP_004687024.1	WP_004687024.1	WP_004687024.1	23216.6868
307	5	5	WP_002966888.1	WP_002964516.1	WP_002964516.1	WP_002966888.1	WP_002964516.1	22980.200934375003
2468	5	5	WP_011382109.1	WP_004690731.1	WP_004683541.1	WP_015799566.1	WP_006190061.1	22881.679346666664
1824	5	5	WP_002967268.1	WP_006133371.1	WP_004684905.1	WP_004684905.1	WP_004690267.1	22880.48721875
2377	5	5	WP_002965335.1	WP_006133085.1	WP_006160475.1	WP_002965335.1	WP_006133085.1	22877.413764285713
1772	5	5	WP_002966304.1	WP_004690070.1	WP_002968318.1	WP_002968318.1	WP_004690070.1	22618.548035714284
2201	5	5	WP_002967095.1	WP_004692014.1	WP_002969234.1	WP_002969234.1	WP_004692014.1	22102.843308333333
1523	5	5	WP_002963814.1	WP_004688174.1	WP_004688174.1	WP_004688174.1	WP_004688174.1	21943.48430666667
1447	5	5	WP_002969003.1	WP_004687530.1	WP_004687530.1	WP_004687530.1	WP_004687530.1	21855.200729166667
808	5	5	WP_002966420.1	WP_002966420.1	WP_002966420.1	WP_012783800.1	WP_002966420.1	21622.81939
2804	5	5	WP_002969381.1	WP_004692138.1	WP_006175129.1	WP_004692138.1	WP_006192258.1	21416.22414285714
2266	5	5	WP_002971445.1	WP_005968706.1	WP_005968706.1	WP_005968706.1	WP_005968706.1	21042.799515384617
1563	5	5	WP_002966853.1	WP_012219658.1	WP_006272707.1	WP_015799645.1	WP_004688444.1	21039.111523076925
2863	5	5	WP_011005066.1	WP_011005066.1	WP_245590930.1	WP_011005066.1	WP_011005066.1	20532.398771428572
2682	5	5	WP_002966441.1	WP_004692554.1	WP_004687529.1	WP_002966441.1	WP_006191666.1	19708.52492666667
415	5	5	WP_002964883.1	WP_002964883.1	WP_006161570.1	WP_002964883.1	WP_002964883.1	19467.167907692306
2225	5	5	WP_002965985.1	WP_004692224.1	WP_004687243.1	WP_004687243.1	WP_004692224.1	19365.74213809524
1768	5	5	WP_002966319.1	WP_004690056.1	WP_002966319.1	WP_002966319.1	WP_004690056.1	19077.967289473683
2662	5	5	WP_002967157.1	WP_004689940.1	WP_002967157.1	WP_002967157.1	WP_006191557.1	18903.9273
1473	5	5	WP_002965107.1	WP_004692082.1	WP_004687740.1	WP_004687740.1	WP_004687740.1	18887.36687619048
170	5	5	WP_002964036.1	WP_002964036.1	WP_002964036.1	WP_002964036.1	WP_002964036.1	18371.774015384613
1080	5	5	WP_002969594.1	WP_002969594.1	WP_006174565.1	WP_002969594.1	WP_002969594.1	18335.52127272727
549	5	5	WP_002965332.1	WP_002965332.1	WP_002965332.1	WP_002965332.1	WP_002965332.1	18164.72992777778
100	5	5	WP_002963815.1	WP_002963815.1	WP_002963815.1	WP_002963815.1	WP_002963815.1	18110.604883333337
2713	5	5	WP_002966219.1	WP_004692401.1	WP_006162125.1	WP_006162125.1	WP_006191842.1	17848.196947368422
529	5	5	WP_002965247.1	WP_002965247.1	WP_002965247.1	WP_002965247.1	WP_002965247.1	17816.36165
1112	5	5	WP_002971023.1	WP_002971023.1	WP_002971023.1	WP_002971023.1	WP_002971023.1	17701.650571428567
1678	5	5	WP_002965425.1	WP_004689413.1	WP_006173670.1	WP_004689413.1	WP_004689413.1	17617.225389655177
1577	5	5	WP_002964520.1	WP_004688542.1	WP_004688542.1	WP_004688542.1	WP_004688542.1	17454.609153846155
1486	5	5	WP_002965310.1	WP_004687842.1	WP_004687842.1	WP_004687842.1	WP_004687842.1	17433.947483333333
916	5	5	WP_002967156.1	WP_006133569.1	WP_006175961.1	WP_002967156.1	WP_002967156.1	17351.044125
1495	5	5	WP_002965484.1	WP_004692004.1	WP_004687920.1	WP_012783851.1	WP_004687920.1	17278.804087499997
1355	5	5	WP_002966678.1	WP_004691998.1	WP_006173715.1	WP_004685421.1	WP_004685421.1	17237.69835714286
2168	5	5	WP_002964535.1	WP_004691599.1	WP_006071124.1	WP_006071124.1	WP_004691599.1	17235.84748888889
613	5	5	WP_002965610.1	WP_002965610.1	WP_002965610.1	WP_002965610.1	WP_002965610.1	17229.237146666666
47	5	5	WP_002963588.1	WP_002963588.1	WP_002963588.1	WP_002963588.1	WP_002963588.1	17108.26648888889
651	5	5	WP_002965745.1	WP_004692170.1	WP_006175258.1	WP_002965745.1	WP_002965745.1	16958.36693809524
2508	5	5	WP_002964216.1	WP_004691796.1	WP_023598547.1	WP_002964216.1	WP_006190447.1	16941.566633333332
1007	5	5	WP_002966540.1	WP_002968224.1	WP_006175941.1	WP_002968224.1	WP_002968224.1	16938.17644545455
153	5	5	WP_002963991.1	WP_002963991.1	WP_002963991.1	WP_002963991.1	WP_002963991.1	16672.6856
2110	5	5	WP_002967025.1	WP_004691145.1	WP_004691145.1	WP_004691145.1	WP_004691145.1	16596.41730769231
667	5	5	WP_002965802.1	WP_002965802.1	WP_002965802.1	WP_002965802.1	WP_002965802.1	16593.84700909091
1492	5	5	WP_002965469.1	WP_004687911.1	WP_004687911.1	WP_004687911.1	WP_004687911.1	16575.864564285712
2528	5	5	WP_002964334.1	WP_004683914.1	WP_004683914.1	WP_004683914.1	WP_006190500.1	16504.25966666667
2702	5	5	WP_002968344.1	WP_004681680.1	WP_004681680.1	WP_004681680.1	WP_006191807.1	16398.259983333333
1081	5	5	WP_002969599.1	WP_002969599.1	WP_002969599.1	WP_041594709.1	WP_002969599.1	16213.267466666666
